FOLDERINDEX,FOLDERNAME,TRANSACTION,TRANSACTIONNAME
L1.3.7,Work Orders,W13,View Work Order
L1.3.7,Work Orders,W14,Approve Work Order
L1.3.7,Work Orders,W15,Approve by List
L1.3.7,Work Orders,W16,Cost Settlement
L1.3.8,Work Requets,WR1,Create Work Request
L1.3.8,Work Requets,WR2,Modify Work Request
L1.3.8,Work Requets,WR3,View Work Request
L1.3.6,Strategies,E21,Create Maintenance Strategy
L1.3.6,Strategies,E22,Modify Strategy
L1.3.6,Strategies,E23,View Strategy
L1.3.6,Strategies,E24,Strategy List
L1.3.5,Routine Worksheets,R01,Create Routine Sheet
L1.3.5,Routine Worksheets,R02,Modify Routine Sheet
L1.3.5,Routine Worksheets,R03,View Routine Sheet
L1.3.5,Routine Worksheets,R04,Procedures
L1.3.3,Failures Management,F01,New Root Cause Analysis
L1.3.3,Failures Management,F02,Analysis Status
L1.3.3,Failures Management,F03,Action Plans
L1.3.3,Failures Management,F04,Equipment Analysis
L1.3.4,Locations,L01,Create Physical Location
L1.3.4,Locations,L02,Modify Physical Location
L1.3.4,Locations,L03,View Physical Location
L1.3.4,Locations,L04,Location List
L1.3.2,Equipments,E01,Create Equipment
L1.3.2,Equipments,E02,Modify Equipment
L1.3.2,Equipments,E03,View Equipment
L1.3.2,Equipments,E04,Equipment List
L1.3.1,Counters,C11,Create Counter
L1.3.1,Counters,C12,Modify Counter
L1.3.1,Counters,C13,View Counter
L1.3.1,Counters,C14,Input Measurement Data
L1.3.1,Counters,C15,Modify Measured Document
L1.2.2.2,Supplier Requests,SR1,Create Purchase Request
L1.2.2.2,Supplier Requests,SR2,Modify Purchase Request
L1.2.2.2,Supplier Requests,SR3,View Requests
L1.2.2.3,Suppliers,S11,Create Supplier
L1.2.2.3,Suppliers,S12,Modify Supplier
L1.2.2.3,Suppliers,S13,View Supplier
L1.2.2.1,Purchase Orders,P01,Create Purchase Order
L1.2.2.1,Purchase Orders,P02,Modify Purchase Order
L1.2.2.1,Purchase Orders,P03,View Purchase Order
L1.2.2.1,Purchase Orders,P04,Authorize Orders
L1.2.2.1,Purchase Orders,P05,Purchase Analysis
L1.2.1.2,Warehouses,W01,Create Warehouse
L1.2.1.2,Warehouses,W02,Modify Warehouse
L1.2.1.2,Warehouses,W03,View Warehouse
L1.2.1.2,Warehouses,W04,Warehouse Analysis
L1.2.1.1,Materials,M01,Create Material
L1.2.1.1,Materials,M02,Modify Material
L1.2.1.1,Materials,M03,View Material
L1.2.1.1,Materials,M04,Material List
L1.1.3.2,Sales Orders,S01,Create Sales Order
L1.1.3.2,Sales Orders,S02,Order Status
L1.1.3.2,Sales Orders,S03,Order List
L1.1.3.2,Sales Orders,S04,Inventory
L1.1.3.1,Billing,B01,Issue Invoices
L1.1.3.1,Billing,B02,Correct Invoices
L1.1.3.1,Billing,B03,Accounts Receivable
L1.1.3.1,Billing,B04,Billing Analysis
L1.1.3.1,Billing,B05,Reports
L1.1.2,Master data,MD1,Objects
L1.1.1.2,Customer Analysis,CA1,Analyze Customer
L1.1.1.1,Clients,C01,Create Client
L1.1.1.1,Clients,C02,Modify Client
L1.1.1.1,Clients,C03,View Client
L1.1.1.1,Clients,C04,Client List
L5.3,Master Data,SYSOBJ,System Objects
